id;sk
fancyweb;FancyWeb
title;Klimatel

navigation.header;Domov
navigation.contact;Kontakt
navigation.offering;Ponúkame
navigation.about-us;O nás
navigation.why-us;Prečo zvoliť nás?
navigation.sub-page;Modely

cookieMessage;Táto stránka používa súbory cookie. Kliknutím na tlačidlo "Povoliť" súhlasíte s ich používaním na uloženie zvoleného jazyka a na analýzu návštevnosti stránky.;Ez az oldal sütiket használ. Az "Engedélyezem" gombra kattintva elfogadja, hogy ezeket a kiválasztott nyelv mentésére és a weboldal forgalmának elemzésére használjuk.;This website uses cookies. By clicking the "Allow" button, you agree to their use to save the selected language and to analyze site traffic.
cookieAllow;Povoliť
cookieDeny;Odmietnuť
cookiePolicy;Zásady používania súborov cookie


topContact.address1;Kráľová nad Váhom 702, 
topContact.address2;92591 Kráľová nad Váhom
topContact.email;klimatel@klimatel.sk
topContact.tel;+421 910 870 087
topContact.hours;Po-Pia: 8:00 - 15:30

header.header1;rekuperácia
header.header2;klimatizácia
header.header3;tepelné čerpadlo
header.lg;LG
header.daikin;Daikin
header.midea;Midea
header.discount;Chladenie aj výhodné kúrenie v jednom

aboutUs.title;o nás
aboutUs.desc;Komplexné služby pre dodanie a montáž klimatizačnej techniky. Ak hľadáte dobrý pomer ceny a kvality, ste na správnej adrese.
aboutUs.feature1;Bezplatná obhliadka
aboutUs.feature2;Široká ponuka
aboutUs.feature3;Odborná montáž a servis
aboutUs.divider1;Rokov skúseností
aboutUs.divider2;Realizovaných riešení
aboutUs.divider3;Modelov na výber

offering.title;Ponúkame
offering.daikin;Daikin
offering.lg;LG
offering.midea;Midea
offering.more;Pozrieť ponuku

whyUs.title;Prečo zvoliť nás?
whyUs.title1;Bezplatná obhliadka a konzultácia
whyUs.desc1;Navrhneme najideálnejšie umiestnenie a výkon jednotiek. Poskytujeme poradenstvo pri výbere vhodnej značky a modelu, aby sme zabezpečili, že vaše potreby a očakávania budú splnené. Sme pripravení vypracovať cenovú ponuku na mieru, ktorá neobsahuje žiadne neopodstatnené položky a nepríjemné prekvapenia.
whyUs.title2;Produkty od popredných výrobcov
whyUs.desc2;V našej ponuke nájdete výhradne certifikované, energeticky úsporné a inovatívne zariadenia s dlhodobou dostupnosťou náhradných dielov.
whyUs.title3;Riešenia pre energetické úspory
whyUs.desc3;Prinášame Vám rôzne riešenia pre zníženie nákladov za energie. Prepočítame orientačnú návratnosť. Vedeli ste, že dokurovaním s klimatizáciou môžete ušetriť značné financie?

deal.title;Nezmeškajte jedinečnú akciu
deal.title.daikin;Modely klimatizácií Daikin
deal.title.lg;Modely klimatizácií LG
deal.title.midea;Modely klimatizácií Midea
deal.assembly;od
deal.order;Pozrieť katalóg

contact.title;Kontaktujte nás
contact.form.title;Napíšte nám
contact.form.name;Meno
contact.form.email;Email
contact.form.phone;Tel. číslo
contact.form.location;Lokalita
contact.form.message;Správa
contact.form.name.placeholder;napr. Jožko Mrkvička
contact.form.email.placeholder;vzor@email.com
contact.form.message.placeholder;Chcel by som si dohodnúť stretnutie...
contact.form.submitBtn;Poslať správu
contact.form.required;Povinné pole
contact.form.pattern;Nesprávny tvar
contact.form.successMsg;Správa bola úspešne odoslaná!
contact.form.failMsg;Odoslanie správy zlyhalo
contact.address;Kráľová nad Váhom 702, 92591 Kráľová nad Váhom

footer.title;KLIMATEL Šaľa, s.r.o.
footer.text1; © Klimatel - Dizajn zo
footer.text2;vytvoril 
footer.text3;Ilustračné obrázky navrhol Freepik
footer.address.title;Adresa
footer.address.content;Kráľová nad Váhom 702,<br/>92591 Kráľová nad Váhom
footer.phone.title;Telefónne číslo
footer.phone.content;+421 910 870 087
footer.email.title;Email
footer.email.content;klimatel@klimatel.sk
